workload_id,actual_best_policy,pred_best_policy,true_best_rank_in_pred,topk,topk_hit,top1_hit,actual_best_score_mean,actual_score_mean_of_pred_choice,actual_regret,pred_topk_policies
W2710,EC-3-2,EC-3-2,1,3,1,1,212.15672999824164,212.15672999824164,0.0,"EC-3-2,EC-4-2,EC-2-2"
W2719,EC-3-2,EC-4-2,2,3,1,0,206.44928399997298,238.26366900084395,31.81438500087097,"EC-4-2,EC-3-2,EC-4-3"
W2725,EC-2-2,EC-2-2,1,3,1,1,237.21257099941795,237.21257099941795,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2731,EC-2-2,EC-4-2,6,3,0,0,227.74027750051573,254.25480249850807,26.51452499799234,"EC-4-2,EC-3-2,EC-6-3"
W2738,EC-4-2,EC-3-2,3,3,1,0,283.91417600096247,398.3899344998463,114.4757584988838,"EC-3-2,EC-2-2,EC-4-2"
W2739,EC-4-2,EC-4-2,1,3,1,1,286.1862754980393,286.1862754980393,0.0,"EC-4-2,EC-2-2,EC-3-2"
W2744,EC-4-3,EC-2-2,6,3,0,0,407.3808454959362,970.6889594995118,563.3081140035756,"EC-2-2,EC-4-2,EC-3-2"
W2745,EC-2-2,EC-2-2,1,3,1,1,337.8069005002544,337.8069005002544,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2749,EC-5-3,EC-2-2,6,3,0,0,363.9221660005205,1040.7933200003754,676.8711539998549,"EC-2-2,EC-4-2,EC-3-2"
W2753,EC-2-2,EC-2-2,1,3,1,1,396.34066549956515,396.34066549956515,0.0,"EC-2-2,EC-3-2,EC-4-2"
